Job Title,Job Rating,Time,Job Status,Pros,Cons,Company_Name
Security consultant,2.0,2025-07-09,"Current employee, more than 8 years",A field to learn and have a experince,no work life balanceNo salary increment poor pay comapred to the market rate,Equity
Business relationship officer,1.0,2025-06-16,"Former employee, more than 10 years",Perfect on job trainings. Good in terms of job experience,"Low staff morale due to poor pay and long working hours.Excessive pressure Inadequate facilitation when going down field work.Nepotism in hiring and job promotion hence a major cause of fraud in the bank the ksh 1.5 billion that was lost.Lack of avenue to pass creative ideas , i.e it's Mwangi's kiosk , you are supposed to be seen and not to be heard",Equity
Customer service representative,3.0,2025-06-24,"Former employee, less than 1 year",Good exposure Good pay and benefits,Micro mgt sometimes Rude customers,Equity
Loan officer,3.0,2025-06-23,"Former employee, more than 5 years",Good career growth whe you are consistent,Low work/life balance and long working hours,Equity
Accountant,3.0,2025-06-10,Current employee,they ensure top professionalism in handling clients and workers,There are no cons according to my experience,Equity
Product designer,2.0,2025-05-29,"Current employee, more than 1 year",Stable income because its a financial institution,Toxic Top Management who dont care about the employees,Equity
Sales manager,2.0,2025-05-25,Current employee,Nothing good just vibing there,Nothing for far I can’t complain,Equity
Software engineer,3.0,2025-05-08,"Current employee, more than 10 years",job security World class bank, overworking no bonus,Equity
Hr operations,2.0,2025-04-03,"Former employee, more than 1 year",Easy decision making within the country,No process No HR systemsWear only suits,Equity
Supervisor,3.0,2025-03-27,"Former employee, more than 10 years","Permanent and pensionable terms, good structures in place","Long working hours, low salary, too much pressure and micromanagement",Equity
Account manager,4.0,2025-04-07,"Current employee, less than 1 year",Good learning opportunities for new beis,Have to Work on a Saturday,Equity
Data analyst,3.0,2025-02-28,"Current employee, more than 3 years",There is massive data to work on,"Leadership loves meeting even for little things that can be passed through an email. When you are about to focus on work, disruptions.",Equity
Data scientist,3.0,2025-03-13,Current employee,N0t Applicable at the moment,Lower pay for beginners but with experience it improves,Equity
Cashier,2.0,2025-03-15,"Former employee, less than 1 year","good,,pay timely,free tea, growth, culture",over work bad pay bad culture g,Equity
Payments officer,3.0,2025-03-10,"Former employee, more than 1 year","Does not need lots of experience,",The work environment can be unfriendly at times,Equity
Sales representative,5.0,2025-03-01,Former employee,Good employer in terms of renumeration,"None, apart from some security concerns raised by customers",Equity
Team lead,2.0,2024-11-19,"Current employee, more than 3 years","Salary, interesting projects, money is not a problem in Equity.","Managers are a disaster. They'll kill finished and running projects on a whim. But MANY projects. They'll start many others, and you'll never know if those will be killed at some point. Managers are more interested in promoting themselves than in manage anything.Also, it's not unusual for them to fail to pay contractors. I've seen people working without getting paid for six months.",Equity
Customer relationship officer,3.0,2025-02-13,Former employee,A stable income and access to loans,The work is monotonous and repetitive,Equity
Senior data analyst,3.0,2025-02-18,"Current employee, more than 1 year",Well outlined structures for the wellorganized.,Poor reporting lines and changeovers,Equity
Channel sales,4.0,2025-01-20,"Current employee, more than 10 years",Strong brandStability and strong culture,"Less pay,lack of growth,poor work life balance",Equity
Bank relationship officer,5.0,2025-01-19,"Former employee, less than 1 year",Experience in financial industryMentorship and learning opportunities,Maybe the fact that you have to start your days really earlyMonotony of bank operations,Equity
Legal officer,3.0,2025-01-29,"Current employee, more than 1 year",There are flexible working hours. No weekends,Not that challenging and intellectually stimulating,Equity
Senior test analyst,2.0,2024-09-17,"Former employee, more than 3 years",Good support from other colleaguesSome good work on induction and onboarding,Lots of org politics  you dont have a sayNot very conducive office environmentThe managers are oldfashioned  expect lots of traditional work systemsWork burnout os crazy  you have to work on saturdays and late hours on weekdaysDress code is a total bummer  suits for men from mon to saturdays and offical dressing for women. No innovation  you wont have a chance becaue of the traiditional setup. unpredictable contracts  not sure when you'll be shown the door unnanounced.,Equity
Assistant manager,5.0,2025-01-24,Current employee,Benefits are really good. Team is good,Nothing as of now. Amazing exp,Equity
Internal controls specialist,3.0,2025-01-15,"Current employee, more than 8 years",Great place to learn. A bunch of different industries in one holding.,Worklife balance may not be achievable in some instances.,Equity
Bancassurance officer,1.0,2025-01-23,"Current employee, more than 3 years",Nothing special about equity bank. Work life balance is a story there.,Not worth it. Unrealistic targets. No proper channels for handling issues. A whole bank having communication breakdown. Even managers have no idea of what's happening in the bank? That's crazy,Equity
Quality assurance analyst,4.0,2025-01-15,"Former employee, more than 1 year",amazing health insurance and hazard pay,The strict apparel rules and long working hours,Equity
E-channels officer,3.0,2025-01-20,Current employee,You can gain useful experience,There are few growth opportunities,Equity
Facilities engineer,3.0,2025-01-01,"Former employee, more than 3 years",Very engaging and enjoyable. The role grows you,Too much work and less pay,Equity
Senior bancassurance sales executive,4.0,2025-01-03,"Current employee, more than 5 years",Great working here and experience is also great,Time consuming and lots of workload,Equity
Senior erp support analyst,3.0,2025-01-09,"Current employee, more than 10 years",Good medical insurancefree parking,no bonusessporadic salary review,Equity
Backend developer,4.0,2025-01-01,"Former employee, less than 1 year",Flexible work hoursFriendly work environment,Leave application procedure could be improved.,Equity
Trade finance officer,4.0,2024-09-24,"Former employee, more than 3 years",Great learning environment with diverse nature of transactions.Investment in employees learning and development,Deepstate kind of system in hiring and internal promotions leading to demoralization of hardworking employees.,Equity
"Anonymous, head office",3.0,2024-12-04,"Current employee, more than 1 year",Fast paced environment good for learningamazing talent,no recognition no salary increamentno work life balanceculture is outdatedpoor management,Equity
Payment officer,5.0,2024-11-07,Former employee,The company will properly train you for the job market. Would recommend as a first job especially if you’re looking to stay in banking,Worklife balance is almost non existent,Equity
Treasury assistant,4.0,2024-09-07,Current employee,Your job security is assured unless you find yourself with a fraud case.Targets are easily achieved due to huge number of customersFriendly workmatesLeaders are simple and ordinary,Your salary will rarely grow mostly after every 3 years but not assuredNo bonuses,Equity
Analyst,3.0,2024-11-24,Current employee,"Good employer thus far, no issues.","None, just work hard and keep your head down.",Equity
Aml analyst,3.0,2023-10-30,"Former employee, more than 8 years","The entity is awesome in terms of case studies, all kinds of typology can seen from their huge customer base. A great place to learn alot. Global Certification paid for by the company.","The salaries are way below market prices ,a certified aml specialist is paid less than Kshs 135,000 including assistant managers. Tribal issuesKikuyu Centered organization and ladies who are open to relationships with bosses tend to be elevated more because 90% of the managers are men. Alot of specialization hence cant create an all round officer to fit outside roles if you exit the organization. The medical cover is BS,you can only go to one hospital which is sponsored by the bank and full of quack doctors. No unsecured loans Reduced repayment period for some facilities compared to other banks. The CEO does increments and bonuses depending on his mood, you can stay for almost 3 years without anything yet the banks makes the highest profit in the region among banks. A lot of micro managing in the entity, multiple disparity in salaries between people doing same role . Employees have no say even when feeling oppressed.",Equity
Cashier/sales associate,4.0,2024-10-17,Former employee,Fastest growing bank in the region,Low salaries compared to other banks of similar size,Equity
Operations,2.0,2024-10-01,"Former employee, more than 5 years",You learn a lot and work soooo much. You can work anywhere after that,"No rest, if not careful you'll have no life outside work",Equity
Sales associate,3.0,2024-10-24,"Former employee, less than 1 year",Friendly staff.Acceptable work environment,Long hoursCompetitive6 days a week,Equity
Technology analyst,1.0,2024-11-21,Current employee,a lot to learn because its fast paced,toxic work environment and power with individuals,Equity
Student equity leadership position,5.0,2024-09-06,"Former employee, less than 1 year",It's a great company and offers satisfying solutions to all finance related problems.,So far so good. I have not seen any problem at Equity Bank Kenya.,Equity
Business analyst,2.0,2024-09-30,"Former employee, more than 3 years",Personal Growth in terms work and career,Renumeration is not comensurate to the role and rank,Equity
It project manager,4.0,2024-10-07,Current employee,Good experinece and diverse teams,Lots of workToo much pressure,Equity
Relationship officer credit,1.0,2024-10-09,"Former employee, more than 3 years",Salary paid on time between 24th_26th,Be prepared to be talked to rudely by the credit sector head like biashara banking and their regional manager,Equity
Operations manager,4.0,2024-09-24,"Current employee, more than 10 years",Quite a lot to learn,Requires patience when working as you learn,Equity
Talent acquisition manager,2.0,2024-09-01,"Current employee, less than 1 year","Career Mobility, competitive, professional growth","Irregular bonus, concerning culture, bureaucratic, no compensation review",Equity
Operations officer,3.0,2024-08-30,"Current employee, more than 3 years","The company is gender balanced, everyone has an equal chance of up taking a role which is merit based",Staff on contractual terms are not confirmed on time,Equity
It officer,3.0,2024-07-27,"Former employee, more than 1 year","Fast paced environment, great for learning.",Salary and bonus reviews are not standardized. Managers in most depts have free reign. Organization culture doesn't change with the times.,Equity
Procurement officer,5.0,2024-08-29,"Current employee, more than 3 years",Good work environmentExtra educational plans and webinarsRewarded well,Actually there is not even a single con,Equity
Network engineer,4.0,2024-08-20,"Former employee, more than 1 year",very nice place to grow in terms of technical knowledge,not good environment in terms of job promotion,Equity
Cash and liquidity management,1.0,2024-10-07,"Former employee, more than 10 years",Good loans at cheap rates,No bonus. No salary increment.,Equity
Senior manager,3.0,2024-07-18,"Current employee, more than 10 years",Visionary with a huge impact on the society,Unclear policies Unclear structure and organisational roles and responsibilities Unstructured performance management,Equity
Reltionship manager,2.0,2024-08-15,"Former employee, more than 3 years",Accessibility to loan facilities and insurance,Unprofessional and untrained supervisors and managers,Equity
Client relationship supervisor,3.0,2024-07-15,Former employee,Staff benefits are good and there is access to the best medical facilities.,None I can think of at the moment,Equity
Security analyst,1.0,2024-10-01,Former employee,Low pay and not consistent,Late pay and unfair and bure,Equity
Project management,3.0,2024-08-07,"Current employee, less than 1 year",amazing onboarding and outreach for incoming staff,Tedious process for exiting employees,Equity
Group head of business continuity,4.0,2024-07-27,"Current employee, more than 3 years",Great Place to get experience,The Work is a lot in comparison to the Compensation,Equity
Marketing,4.0,2024-06-27,Former employee,"Very selling brand,proper branding, proper working condition",Streachy targets that maximizes full potential. I feel motivated having those targets,Equity
Contact center representative,3.0,2024-07-15,"Current employee, more than 3 years",Very professionalGood working environment,Slow career growth/shufflingincreament in salary yearly,Equity
Senior analyst,3.0,2024-06-08,"Former employee, more than 3 years","The best place to start out ones career, the scale of operations and the lack of distinct specializations makes you interact with a lot of things. You learn alot","Growth, both career progression and salary, is very slow",Equity
Human rseources,5.0,2024-07-18,"Current employee, less than 1 year",Work life balanceGreat r enumeration,None at the moment noted,Equity
Channels specialist,5.0,2024-07-04,Current employee,its multi entity bank in 6 countries,IT in subsidary needs to be empowered,Equity
Credit manager,4.0,2024-06-23,"Former employee, more than 3 years","long working hours, technology challenges","no bonus, salary increments not predictable",Equity
Cyber security specialist,3.0,2024-05-21,"Current employee, more than 1 year",Interesting cybersecurity projects ongoing across Group,"Long hiring cycle, about 10 months. Replacing team members takes time.No bonuses.",Equity
Analytics manager,4.0,2024-06-08,"Former employee, less than 1 year",Good Community with good communication,Work life balance is not working,Equity
Relationships officer,4.0,2024-06-13,"Former employee, less than 1 year","Continuous learning, Work trips and community","Fraudulent transactions, Cons, Money Lauderers.",Equity
Intern,3.0,2024-05-29,"Former employee, less than 1 year",Good learning field and broad Exposure.,There is a low consideration to employee welfare,Equity
Project manager,4.0,2024-05-04,Current employee,Very open to innovationRelatively young management teams Open floor for idea contribution Great partnership relations with the development world,Power silosNo company culture Distractive business strategy,Equity
Program manager,4.0,2024-03-29,Former employee,Focussed and professional environment making it a good learning and growth environment,Too much pressure from senior management with no much regard to staff personal well being,Equity
Senior regional manager,5.0,2024-05-29,Former employee,good working conditions and terms,limited vertical growth and new challenges,Equity
Chief credit officer,5.0,2024-05-16,Former employee,Opportunity for growth availableLearning availablePermanent and pensionableMedical benefits available,Rapid transfers and very far from the family,Equity
Bank clearing officer,4.0,2024-05-15,Former employee,Good Working Culture that encourages team work,Long working hours hence no work life balance,Equity
It senior business analyst,2.0,2024-05-14,"Former employee, less than 1 year",You get to work in a competitive IT environment,Toxic bosses and poor pay,Equity
Junior data scientist,4.0,2024-04-15,"Former employee, more than 1 year","Fair Pay, good culture and amazing staff.",Lots of work with minimum time to work,Equity
Senior product manager,3.0,2024-03-18,"Current employee, more than 3 years",They pay market rate if you know how to negotiate.Experiences vary based on line manager.Pension matching is good,Political games make working here a mess.Old school management tactics,Equity
Sales director,3.0,2024-03-11,"Current employee, more than 8 years","Gives a fulfilling working environment, where we are able to timely handle and tailor each customers real estate needs",There is none to bring forward,Equity
Software developer,4.0,2024-05-05,Former employee,Incredible work environment. Great team collaboration.,Career growth ✅Income growth ❌,Equity
Customer service representative (csr),5.0,2024-02-17,Former employee,They have great culture formation on intranet portal,There is no employee salary scale also they pay very low salary compared to the work done by employee at relationship ship officers role,Equity
Gender advisor,5.0,2024-03-09,"Current employee, more than 5 years",Great working conditions and open door policy,Growth takes a long time to be actualised,Equity
Business growth manager,2.0,2024-03-22,"Former employee, more than 10 years",It's a huge institution therefore you can reinvent yourself,No clear career progression and Salary increase,Equity
Payments supervisor,5.0,2024-02-24,"Current employee, more than 8 years",The Experience and exposure is great given that it's a global brand,The pressure sometimes can be immense,Equity
Information security auditor,3.0,2024-03-06,"Former employee, more than 1 year",There is room for growth,There is so much politics around the office,Equity
Senior hr officer,3.0,2024-01-09,"Former employee, more than 8 years",There's job security for its employees.,1. Very poor employee benefits and salaries for employees.2. Employee loyalty is not rewarded.,Equity
Front end developer,5.0,2024-02-04,"Current employee, more than 1 year",Good workplace to start applying skills as an engineer,A lot of meetings and approvals required before features begin,Equity
Engineer,4.0,2024-01-31,"Current employee, more than 3 years","Secure job, growth opportunity, many things and people to learn from","Rigid culture, stagnation if not ambitious and proactive",Equity
Driver,5.0,2024-01-11,Former employee,You get to meet new peopleLong hours of work making you more adaptable tonight deadlinesExposure to different kinds of businesses,Long working hours and unreasonable managers,Equity
Bank clerk,5.0,2024-02-04,"Former employee, more than 1 year",Great place to start working,Do not stay too long,Equity
Head of strategy and business development,4.0,2024-01-27,Current employee,Creating new marketsMarkets management Start ups and innovation,Limited GrowthReward for value created,Equity
Assistant manager recovery,3.0,2024-01-23,Former employee,The bank has a strong brand in Africa,High turnover rate at the branch level,Equity
Entreprise development executive,4.0,2024-01-11,"Former employee, more than 3 years",Good to gain experience and skills,Not good for long term growth,Equity
It specialist,2.0,2024-01-09,"Former employee, more than 3 years",It is a good work place,You get allocated a lot of work,Equity
Academic content writer,5.0,2024-01-10,Former employee,"Timely payments, good management,and a conducive environment",Highly demanding and long working hours,Equity
Corporate relationship manager,4.0,2023-12-24,"Former employee, more than 1 year",Good work life balance always,Not a conducive work culture,Equity
Regional supervisor,3.0,2023-11-15,"Current employee, more than 5 years","Team work, great work ethic and support from HQ.",Low pay. Long hours in some cases.,Equity
Bancassurance specialist,5.0,2023-11-04,"Former employee, more than 3 years",Good place to start your career,More working hours ..Bt if one can find a way to balance it can be great,Equity
Consumer credit officer,4.0,2023-11-07,"Former employee, more than 1 year", A lot of good training & exposure, Long working hours especially the reporting time daily is 7am.,Equity
Ict - senior software engineer,3.0,2023-11-05,"Current employee, more than 1 year",Equity Change life's and ameliorate the social economic situation,Equity has so much to do with on the employee,Equity
Customer relations,1.0,2024-01-21,"Former employee, more than 5 years",Entry level exposureon job training,Long working hoursNo advancement in career,Equity
Human resources business partner,1.0,2023-10-11,"Former employee, less than 1 year",none that I can think of in comparison to other major players in the industry,too much bureaucracy makes it hard for a professional to deliver and damages the principles of the profession,Equity
Group head,3.0,2023-09-26,"Current employee, less than 1 year","Very open, innovative, can be creative, supportive culture",Bonuses and salary increments almost nonexistent,Equity
Senior treasury dealer,3.0,2023-08-10,"Former employee, more than 10 years",If you're innovative then you'll thrive. Huge client database and outstanding performance,Pay is low . Low employee motivation. Dress code.,Equity
Senior relationship officer-ii,5.0,2023-09-17,Current employee,"Great experience and opportunities, good customer service","Late working hours,poor pay, dress code",Equity
Credit controller,4.0,2023-07-28,"Current employee, more than 1 year",Working under a great manager who's a leader hence open door policy for juniors.,Working on Saturday hence bad work life balance.,Equity
Head - it,5.0,2023-07-18,"Current employee, less than 1 year",good salary and compensation. Best work culture,Banking sector can have lots of pressure,Equity
Project management office (pmo),3.0,2023-08-08,Current employee,"Good learning environment, very good projects",None at all for the moment,Equity
It manager,5.0,2023-07-27,Former employee,Good benefits and growth opportunitis,None. just do your work when you have to.,Equity
Risk analyst,2.0,2023-06-20,"Current employee, more than 3 years",Good environment to learn and sharpen your skills,"Limited opportunities for growth, compensation not good enough",Equity
Senior relationship officer cash,2.0,2023-05-25,"Former employee, more than 5 years","End year bonuses, always something to look forward to.",Long uncompensated working hours at the branches. Arrogant branch managers who think they own staff.,Equity
Graduate research assistant,3.0,2023-06-25,"Former employee, more than 1 year",Friendly environment to work in,Too much Pressure to meet targets,Equity
Informaiton offficer,5.0,2023-06-09,"Former employee, more than 1 year",A very great company to work with,None that I know of,Equity
Officer,3.0,2023-06-02,"Current employee, more than 3 years",Clear organisation structure within the bank,A lot of pressure to deliver,Equity
Apprentice,4.0,2023-05-25,Former employee,Good opportunity for growth. I enjoyed it,You could pull very long hours,Equity
Hr advisor,3.0,2023-04-27,Former employee,Job security in terms of loan assistance,Minimal Growth Baecause they headhunt making it hard for the ones already in the system to rise in job levels,Equity
Head of group digital products,4.0,2023-03-09,Current employee,Great Learning experience Delivering to 6 African markets Engagement with numerous partners globally,No bonus or rewards / no talent management Inoffice working with formal dress code,Equity
Payments manager,3.0,2023-01-23,Current employee,"The first bank to revolutionarize banking, and shaped the landscape of future banking. The first bank to conceptualise and implement Agency Banking in Africa, this has brought about imense financial inclusion. Digitization of payments",Embrace latest technology more to increase efficiency and reduce operational costs.,Equity
Direct sales representative (dsr),1.0,2023-06-09,Current employee,Health Insurance Trainings Other opportunities,Long working hours Backward mentality from older management,Equity
Banking,5.0,2023-02-16,Former employee,"Inclusive, innovation, customer centric and staff retention",Expand their outreach into more diaspora markets,Equity
Front desk agent,3.0,2023-03-12,"Former employee, more than 1 year",Fair salary and compensation benefits,Customers are sometimes annoying alot,Equity
Customer service,3.0,2023-01-31,Current employee,Good employer low employee centricity,Annual Bonus is not assured,Equity
Legal assistant/paralegal,5.0,2023-02-13,Former employee,best customer service at the Bank,"so far so good, no complaints",Equity
General manager,1.0,2023-03-14,"Current employee, more than 1 year",Great potential in their market niche,Too much bureaucracy and not the best HR practices,Equity
It support,4.0,2022-12-16,Former employee,Great growth opportunities Good and diverse technology systems,sometimes the workload is too much High employee churn rate,Equity
Salesperson,4.0,2022-12-21,"Current employee, more than 3 years",A very good company with many opportunities.,too much work at times,Equity
Macro research analyst,4.0,2022-12-15,Current employee,The experience was great with the colleagues,Too much bureaucracy and lack of career growth,Equity
Customer relationship manager,4.0,2022-12-21,Current employee,Just an Okay company to work for;.,Nothing to share at the moment,Equity
Senior fraud analyst,5.0,2022-11-27,Current employee,Enhanced systems and processes to curb fraud,Increase personnel to work as fraud monitors,Equity
Operational excellence change agent,5.0,2022-12-06,"Former employee, more than 1 year",Great Benefits. Great place to work.,Company politics. Every company has politics though.,Equity
Frontend developer,1.0,2023-01-23,"Current employee, more than 1 year",Many projects to work on,No standard salary for employees,Equity
Cashier/teller,5.0,2012-08-08,"Current employee, more than 1 year",It has helped me beof relevance in the society by being a medium of empowering people especially of low income in the society.It has also awakane my by exposing me to the modern world of businnes and the current afairs by instiling useful knowledge in me.aIt has also enabled me interact with a variety of people from varioue fields and backgrounds thus creating a global united village,The only con Id say is the pressure  and competition we face from othet banks.This has inturn piled pressure on us but with the steely determination we have as a bank enables us overcome this chqllenge,Equity
Assistant operations manager,4.0,2015-07-09,"Former employee, more than 3 years","It has the work experience environment. One is exposed to different work environments despite their job description, challenging you to different roles. Coupled with the management's open door policies, this a great place for one to develop career wise by gaining valuable skills. Once you have been at Equity Bank, The world becomes your play field.","Equity Bank needs to create a balanced work life balanced environment for their staff. Staff spend over 8 hours a day during week days and 4 hours on the weekends in their office leaving them little time to engage socially with their families and friends. This also limits their creativity and denies them an opportunity to develop their lives, through engaging in other income activities by use of their talents. Head office staff waste plenty of resources by reporting to their work stations.",Equity
Branch head of credit/administrator,4.0,2017-09-09,"Current employee, more than 5 years","Changing peoples lives through credit advance,working in a third world country where people need a lot of financial help and advice to be able to run businesses i am happy that i have been part of a team which is the best in entrepreneurship in my homeland.My contribution to the bank has also been felt because so far in the country its rated to be the best in our entire region of East Africa.",The downside is consumption of much time wheres i have little time with my family.I work for 12hours a day and the pay is minimal.,Equity
Product development and innovations manager,4.0,2014-10-29,"Current employee, less than 1 year",Equity Bank bank is highly innovative bank with 50% market share in KenyaEquity is also licensed to operate a mobile telecoms business as an MVNO  mobile virtual network operator,"Equity has a workforce of about 9,000 peopleIt has a poor work culture and one can feel lost in the massive company, things take too long to be doneThere are many silos in the organizational structure",Equity
Fraud investigator,4.0,2021-03-21,"Current employee, more than 1 year","Diversity in services, products and a wide customer base earns deep skills, knowledge and experience!",The organization is big and with regional and international interests and this brings along a demand for highest levels of customer service and productivity. That's how demanding job is.,Equity
Operations supervisor,1.0,2017-11-05,"Former employee, more than 5 years",Fast growing bankStability Good systemsOrganised with good structureMultiple opportunities for growth.,"Long working hours that are not equally compensated on pay slip. Bureaucratic Leadership Too much frustration from middle level management. Poor upward communication.Zero hard work reward mechanism. Unrealistic targets to propel growth.Too many un nurtured products. Too much un necessary pressure exerted on junior staff.Professionalism is a core value that is not upheld when handling staff. Bias appraisals, Poor bonus awards.",Equity
Relationhip officer,2.0,2022-11-01,"Former employee, more than 3 years","All round staff training, valuable skills and experience","Toxic work environment, poor remuneration, skewed staff reward & promotion practices, ethnicity & favoritism, high staff turnover, egoistic & proud managers majority, no lifework balance due to long working hours",Equity
Business banker,3.0,2018-02-28,"Former employee, more than 5 years",Great learning environmentGreat career growth opportunities,Poor payLong working hours without compensationSome bosses lack exposure to deal with modern staff Ethnicity & tribalism,Equity
Senior relationship officer,3.0,2021-06-21,"Former employee, more than 8 years",A lot of opportunity to gain practical experience for the industry.,The workload is quite unreasonable and the pay is not commensurate.,Equity
Finance manager,3.0,2015-12-08,Current employee,Good employee relationship.  Offers career growth opportunities.  Open door policy for employees and senior management,Too much politics.  Promotion with no immediate compensation. Does not reward or recognize loyal staff who have served for zo long,Equity
Senior loan officer,4.0,2016-04-21,"Current employee, more than 1 year","Fully involved management in solution finding, Working environment is awesome, equipments are reliable e.g the computers, internet service","Angry customers, unappreciative customers, rude customers,",Equity
Internship,3.0,2017-08-07,"Former employee, less than 1 year",A great opportunity for young professionals to start their career. The average employee is about 27 years.,It is rather difficult as far as internal growth because I think the company outsources talent a lot,Equity
Communications specialist,3.0,2018-09-25,"Former employee, more than 1 year",Training provided for staff to improve skills in service managementWell laid out structure to escalate issues and on issue resolution,Salaries were low for a time as compared to other organisations.,Equity
Technical lead it,3.0,2021-07-04,Current employee,The company is very good intraining and developping the capacity of his employees. The environment encourages the sharing of knowledge with other new colleagues and reinforcing their capacity,The company has to improve his policies on employee retention and remuneration.,Equity
Senior program officer,3.0,2017-07-01,"Former employee, more than 5 years",Great place for entry level to gain experience.  A lot to learn in nearworld class standards,A lot of work with low pay.,Equity
It auditor,3.0,2022-05-17,"Former employee, more than 3 years",Equity Bank IT infrastructure is always growing thus you are exposed to several applications and gather skills,Overwork to meet and finish the audit plan on time bearing in mind you have no more than 100 systems,Equity
Relationship officer group lending,3.0,2017-09-11,"Former employee, more than 3 years",90 percent of the jobs are permanent & pensionable,Salary increment is a challenge even after being the best performing and most profitable bank that financial year,Equity
Hsnp officer,5.0,2018-05-08,"Former employee, less than 1 year",staff coordination and supportmanagementunderstanding among staffestablishment of protocolspeople understanding,Long working hoursharsh security officersdelay in establishing proper feedback to complainsemployee poor appraisal,Equity
Transactional banker,5.0,2021-04-08,"Current employee, more than 5 years","The best growth, culture, people and employeecentric organization",I would discourage apply to the organization if you're not willing and open to learn. The opportunities are beyond one can imagine,Equity
